id,Name,Area,Type,Rating,Out_of_rating,Cuisine,Avg_price,Timmings,Facility,Food_Rating,Service_Rating,Ambience_Rating
0,Huber & Holly,Borivali West,"Dessert Parlor, Quick Bites ",4.6,5,"Desserts, Ice Cream, Fast Food, Beverages, Pizza",800,10am - 1am,Home Delivery   Vegetarian Only  Valet Parking AvailableIndoor SeatingKid FriendlyPet FriendlyVegan OptionsOutdoor SeatingCatering AvailableSelf ServiceServes Jain FoodDesserts and Bakes,0,0,4
1,Yazu - Pan Asian Supper Club,"Oshiwara, Andheri West","Casual Dining, Bar ",4.9,5,"Thai, Korean, Japanese, Chinese","2,200",12noon - 1:30am,Wheelchair Accessible   Serves Non Veg   Full Bar Available  Indoor SeatingFree WifiFree ParkingOutdoor SeatingTable booking recommendedBrunch,5,0,0
2,Kettle & Keg - Dining & Bar,"7 Bungalows, Andheri West","Casual Dining, Bar ",4.7,5,"Cafe, Continental, Seafood, Italian, Fast Food","1,800",9:30am - 1am,Home Delivery   Full Bar Available  Live MusicOutdoor SeatingIndoor SeatingFree WifiSmoking Area,5,4,0
3,Trèsind,Bandra Kurla Complex,Fine Dining ,4.5,5,Modern Indian,"4,000","12noon - 3:30pm, 7pm - 12midnight",Full Bar Available  Valet Parking AvailableIndoor SeatingWifiTable reservation required,5,0,0
4,Jumjoji - The Parsi Diner,Marol,"Casual Dining, Bar ",4.9,5,Parsi,"2,100","11am - 3:30pm, 6:30pm - 12midnight",Full Bar Available  Table booking recommendedSmoking AreaIndoor SeatingLuxury Dining,5,0,0
5,The Cult - Peninsula Grand Hotel,Sakinaka,"Bar, Lounge ",4.5,5,"Continental, North Indian, Chinese","2,100",4:30pm - 1:30am,Wheelchair Accessible   Full Bar Available  Live EntertainmentNightlifeLive MusicRooftopAbove 18 OnlyRestricted EntryLGBTQIA FriendlySmoking AreaDance FloorLive Sports ScreeningValet Parking AvailableOutdoor SeatingIndoor SeatingTable reservation required,5,4,0
6,White Charcoal - The Empresa Hotel,"Andheri Lokhandwala, Andheri West","Casual Dining, Bar ",4.7,5,"Modern Indian, North Indian, Desserts","2,300","12:30pm - 3:30pm, 7:30pm - 12midnight",Full Bar Available  Valet Parking AvailableIndoor SeatingTable booking recommendedServes Jain FoodBrunch4/5 StarLuxury Dining,5,4,4
7,Opa! Bar & Cafe - Peninsula Grand Hotel,Sakinaka,"Bar, Casual Dining ",4.8,5,"Mediterranean, Lebanese, Italian, Continental","3,000",7pm - 3am,Full Bar Available  Free ParkingLive Sports ScreeningValet Parking AvailableOutdoor SeatingIndoor SeatingLGBTQIA FriendlySmoking AreaGroup MealLive EntertainmentNightlifeLive MusicRooftopAbove 18 OnlyWifiDesserts and Bakes,5,4,0
8,International Baking Company,Mira Road,Bakery ,4.6,5,"Bakery, Desserts",400,10am - 12midnight,Home Delivery   Seating Not Available   Vegetarian Only  Desserts and Bakes,0,0,
9,Kaitlyns Beer Garden,"Hill Road, Bandra West","Pub, Casual Dining ",4.5,5,"Finger Food, Mexican, Italian, Continental, Pizza, Asian","2,200","12midnight - 1:30am, 12noon - 12midnight",Full Bar Available  Live Sports ScreeningValet Parking AvailableTable booking recommendedKeto OptionsNightlifeCraft BeerIndoor SeatingLGBTQIA FriendlySmoking Area,5,4,4
